PROC,LOAD,READSIZE,TIMESPFETCH,PRED,nobg_Elapsed,nobg_READAHEAD_TIME,bg_Elapsed,bg_READAHEAD_TIME
16,8192,131072,1,0,136.06,0.0,140.09,0.0
16,8192,131072,1,1,148.24,4.193382,143.28,0.056757
16,8192,131072,2,0,142.64,0.0,142.07,0.0
16,8192,131072,2,1,147.73,3.072009,146.81,0.051203
16,8192,131072,4,0,138.76,0.0,148.0,0.0
16,8192,131072,4,1,150.34,2.258475,147.32999999999998,0.056229
16,8192,524288,1,0,142.31,0.0,144.13,0.0
16,8192,524288,1,1,144.21,0.118747,143.53,0.012312
16,8192,524288,2,0,139.99,0.0,147.0,0.0
16,8192,524288,2,1,148.62,0.108216,144.15,0.012141
16,8192,524288,4,0,148.09,0.0,149.07,0.0
16,8192,524288,4,1,149.0,0.117086,147.97,0.012404
16,8192,1048576,1,0,147.23,0.0,142.91,0.0
16,8192,1048576,1,1,140.89,0.001474,144.91,0.001396
16,8192,1048576,2,0,146.82,0.0,144.22,0.0
16,8192,1048576,2,1,144.51,0.001594,140.03,0.001384
16,8192,1048576,4,0,139.84,0.0,141.93,0.0
16,8192,1048576,4,1,138.34,0.001538,137.06,0.001413
16,8192,4194304,1,0,113.43,0.0,118.85,0.0
16,8192,4194304,1,1,115.13,0.063004,135.67,0.004183
16,8192,4194304,2,0,138.32,0.0,134.92,0.0
16,8192,4194304,2,1,139.82999999999998,0.077045,124.21,0.004296
16,8192,4194304,4,0,128.91,0.0,122.72,0.0
16,8192,4194304,4,1,101.53,0.072355,125.44,0.004201
16,8192,16777216,1,0,115.57,0.0,96.18,0.0
16,8192,16777216,1,1,113.46000000000001,0.008631,113.06,0.000639
16,8192,16777216,2,0,133.89,0.0,132.42,0.0
16,8192,16777216,2,1,127.55,0.008898,97.9,0.000576
16,8192,16777216,4,0,99.52000000000001,0.0,132.33,0.0
16,8192,16777216,4,1,117.44,0.009135,118.52000000000001,0.000622
16,16384,4096,1,0,692.78,0.0,686.3,0.0
16,16384,4096,1,1,929.37,401.093971,928.32,3.432896
16,16384,4096,2,0,680.56,0.0,696.56,0.0
16,16384,4096,2,1,886.1,351.639709,892.6,3.511391
16,16384,4096,4,0,685.07,0.0,689.81,0.0
16,16384,4096,4,1,780.63,216.520334,797.18,3.52121
16,16384,131072,1,0,582.0,0.0,564.89,0.0
16,16384,131072,1,1,554.25,66.303871,531.66,0.179667
16,16384,131072,2,0,561.23,0.0,564.52,0.0
16,16384,131072,2,1,568.02,56.791615,543.54,0.190119
16,16384,131072,4,0,575.17,0.0,575.2,0.0
16,16384,131072,4,1,549.19,32.654568,547.13,0.229161
16,16384,524288,1,0,584.86,0.0,573.22,0.0
16,16384,524288,1,1,524.42,6.363013,484.73,0.058671
16,16384,524288,2,0,569.03,0.0,579.3,0.0
16,16384,524288,2,1,498.86,6.062025,485.05,0.057027
16,16384,524288,4,0,585.82,0.0,567.99,0.0
16,16384,524288,4,1,526.9,5.597197,474.98,0.061224
16,16384,1048576,1,0,638.08,0.0,512.02,0.0
16,16384,1048576,1,1,570.71,1.299906,485.25,0.028464
16,16384,1048576,2,0,600.35,0.0,553.6,0.0
16,16384,1048576,2,1,520.13,0.866771,477.77,0.028051
16,16384,1048576,4,0,576.44,0.0,504.49,0.0
16,16384,1048576,4,1,521.98,0.72876,479.40999999999997,0.031148
16,16384,4194304,1,0,546.46,0.0,467.34000000000003,0.0
16,16384,4194304,1,1,502.43,0.002572,518.65,0.002372
16,16384,4194304,2,0,505.89,0.0,529.88,0.0
16,16384,4194304,2,1,497.55,0.002543,465.87,0.002366
16,16384,4194304,4,0,495.68,0.0,470.61,0.0
16,16384,4194304,4,1,490.77,0.002403,475.36,0.002277
16,16384,16777216,1,0,489.63,0.0,461.15,0.0
16,16384,16777216,1,1,652.84,0.083145,467.2,0.004466
16,16384,16777216,2,0,521.59,0.0,484.32,0.0
16,16384,16777216,2,1,576.6,0.07542,475.65,0.004264
16,16384,16777216,4,0,585.82,0.0,490.81,0.0
16,16384,16777216,4,1,574.83,0.074101,506.22,0.004757
