PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
4,4096,4194304,1,1,38.13,0.067291
4,4096,4194304,2,0,34.24,0.0
4,4096,4194304,2,1,34.98,0.065231
4,4096,4194304,4,0,37.97,0.0
4,4096,4194304,4,1,35.27,0.064546

4,4096,16777216,1,0,35.88,0.0
4,4096,16777216,1,1,37.9,0.007504
4,4096,16777216,2,0,34.91,0.0
4,4096,16777216,2,1,38.68,0.00715
4,4096,16777216,4,0,36.82,0.0
4,4096,16777216,4,1,38.18,0.007425


4,8192,4096,1,0,226.61,0.0
4,8192,4096,1,1,256.74,54.735274
4,8192,4096,2,0,229.22,0.0
4,8192,4096,2,1,240.56,47.847834
4,8192,4096,4,0,233.36,0.0
4,8192,4096,4,1,215.81,23.475668

4,8192,131072,1,0,165.3,0.0
4,8192,131072,1,1,162.61,27.234536
4,8192,131072,2,0,160.25,0.0
4,8192,131072,2,1,150.39,24.085274
4,8192,131072,4,0,163.04,0.0
4,8192,131072,4,1,150.2,15.742969

4,8192,524288,1,0,155.93,0.0
4,8192,524288,1,1,151.65,0.834679
4,8192,524288,2,0,147.59,0.0
4,8192,524288,2,1,150.92,0.90864
4,8192,524288,4,0,148.37,0.0
4,8192,524288,4,1,153.81,0.890113

4,8192,1048576,1,0,145.38,0.0
4,8192,1048576,1,1,145.97,0.626354
4,8192,1048576,2,0,147.45,0.0
4,8192,1048576,2,1,143.29,0.670438
4,8192,1048576,4,0,150.61,0.0
4,8192,1048576,4,1,148.35,0.623012

4,8192,4194304,1,0,154.3,0.0
4,8192,4194304,1,1,148.42,0.002399
4,8192,4194304,2,0,141.83,0.0
4,8192,4194304,2,1,145.3,0.002705
4,8192,4194304,4,0,145.13,0.0
4,8192,4194304,4,1,141.91,0.002712

4,8192,16777216,1,0,151.8,0.0
4,8192,16777216,1,1,153.16,0.062611
4,8192,16777216,2,0,142.75,0.0
4,8192,16777216,2,1,143.98,0.061317
4,8192,16777216,4,0,147.09,0.0
4,8192,16777216,4,1,143.09,0.061468

4,16384,4096,1,0,930.41,0.0
4,16384,4096,1,1,1041.52,284.364103
4,16384,4096,2,0,923.6,0.0
4,16384,4096,2,1,967.53,234.336393
4,16384,4096,4,0,917.44,0.0
4,16384,4096,4,1,867.5,84.612019

4,16384,131072,1,0,657.88,0.0
4,16384,131072,1,1,608.31,160.34553
4,16384,131072,2,0,664.15,0.0
4,16384,131072,2,1,611.05,134.846299
4,16384,131072,4,0,676.75,0.0
4,16384,131072,4,1,626.86,92.490853

4,16384,524288,1,0,602.44,0.0
4,16384,524288,1,1,528.6,76.563051
4,16384,524288,2,0,616.37,0.0
4,16384,524288,2,1,586.46,85.890923
4,16384,524288,4,0,623.05,0.0
4,16384,524288,4,1,543.66,60.523213

4,16384,1048576,1,0,594.8,0.0
4,16384,1048576,1,1,512.94,24.125478
4,16384,1048576,2,0,594.64,0.0
4,16384,1048576,2,1,503.5,23.015232
4,16384,1048576,4,0,585.01,0.0
4,16384,1048576,4,1,521.17,21.738745

4,16384,4194304,1,0,592.25,0.0
4,16384,4194304,1,1,589.97,0.712298
4,16384,4194304,2,0,575.07,0.0
4,16384,4194304,2,1,594.73,0.699157
4,16384,4194304,4,0,590.22,0.0
4,16384,4194304,4,1,582.16,0.717586

4,16384,16777216,1,0,572.3,0.0
4,16384,16777216,1,1,540.88,0.00181
4,16384,16777216,2,0,569.84,0.0
4,16384,16777216,2,1,559.12,0.001684
4,16384,16777216,4,0,582.35,0.0
4,16384,16777216,4,1,585.63,0.00163

#########################################

16,8192,4096,1,0,175.4,0.0
16,8192,4096,1,1,231.27,99.021249
16,8192,4096,2,0,176.1,0.0
16,8192,4096,2,1,218.74,80.83994
16,8192,4096,4,0,170.09,0.0
16,8192,4096,4,1,190.37,42.089896

16,8192,131072,1,0,139.99,0.0
16,8192,131072,1,1,144.21,4.303122
16,8192,131072,2,0,147.02,0.0
16,8192,131072,2,1,150.64,3.824576
16,8192,131072,4,0,140.05,0.0
16,8192,131072,4,1,144.11,2.703652

16,8192,524288,1,0,139.31,0.0
16,8192,524288,1,1,145.9,0.094218
16,8192,524288,2,0,145.65,0.0
16,8192,524288,2,1,148.36,0.100691
16,8192,524288,4,0,141.54,0.0
16,8192,524288,4,1,151.42,0.10506

16,8192,1048576,1,0,143.5,0.0
16,8192,1048576,1,1,139.48,0.001697
16,8192,1048576,2,0,138.44,0.0
16,8192,1048576,2,1,137.97,0.001694
16,8192,1048576,4,0,143.96,0.0
16,8192,1048576,4,1,150.19,0.001791

16,8192,4194304,1,0,132.99,0.0
16,8192,4194304,1,1,121.03,0.063456
16,8192,4194304,2,0,129.86,0.0
16,8192,4194304,2,1,117.46,0.064653
16,8192,4194304,4,0,139.1,0.0
16,8192,4194304,4,1,120.37,0.062722

16,8192,16777216,1,0,143.77,0.0
16,8192,16777216,1,1,141.09,0.009381
16,8192,16777216,2,0,130.89,0.0
16,8192,16777216,2,1,136.1,0.008293
16,8192,16777216,4,0,132.01,0.0
16,8192,16777216,4,1,120.47,0.007837

16,16384,4096,1,0,690.38,0.0
16,16384,4096,1,1,935.22,439.369342
16,16384,4096,2,0,684.64,0.0
16,16384,4096,2,1,888.58,360.297848
16,16384,4096,4,0,690.93,0.0
16,16384,4096,4,1,815.63,219.030665

16,16384,131072,1,0,570.61,0.0
16,16384,131072,1,1,536.32,73.334892
16,16384,131072,2,0,571.46,0.0
16,16384,131072,2,1,548.23,69.973482
16,16384,131072,4,0,571.68,0.0
16,16384,131072,4,1,545.0,47.964219

16,16384,524288,1,0,581.62,0.0
16,16384,524288,1,1,480.23,9.665989
16,16384,524288,2,0,573.09,0.0
16,16384,524288,2,1,468.3,5.2013
16,16384,524288,4,0,571.78,0.0
16,16384,524288,4,1,469.43,5.163488

16,16384,1048576,1,0,570.62,0.0
16,16384,1048576,1,1,473.29,1.633087
16,16384,1048576,2,0,561.35,0.0
16,16384,1048576,2,1,483.64,3.538609
16,16384,1048576,4,0,547.09,0.0
16,16384,1048576,4,1,484.22,2.325821

16,16384,4194304,1,0,509.79,0.0
16,16384,4194304,1,1,528.65,0.002433
16,16384,4194304,2,0,544.67,0.0
16,16384,4194304,2,1,547.56,0.002505
16,16384,4194304,4,0,612.22,0.0
16,16384,4194304,4,1,524.9,0.002507

16,16384,16777216,1,0,471.99,0.0
16,16384,16777216,1,1,485.41,0.056619
16,16384,16777216,2,0,481.28,0.0
16,16384,16777216,2,1,475.49,0.057959
16,16384,16777216,4,0,452.93,0.0
16,16384,16777216,4,1,467.08,0.055325
