"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"func@0x450d90","0.00200482","2600000","0","0","sysbench","func@0x450d90","[Unknown]","0x450d90"
"pmd_devmap_trans_unstable","0.00200482","0","0","0","vmlinux","pmd_devmap_trans_unstable","[Unknown]","0xffffffff811f6190"
"func@0x42f6b0","0.00200482","2600000","0","0","sysbench","func@0x42f6b0","[Unknown]","0x42f6b0"
"put_page","0.00200482","0","0","0","vmlinux","put_page","[Unknown]","0xffffffff811f5ee0"
"default_wake_function","0.00200482","2600000","1","0.5","vmlinux","default_wake_function","[Unknown]","0xffffffff810b0d30"
"sync_regs","0.00200482","0","","1","vmlinux","sync_regs","[Unknown]","0xffffffff8102c420"
"should_numa_migrate_memory","0.00200482","0","","0.5","vmlinux","should_numa_migrate_memory","[Unknown]","0xffffffff810bd420"
"func@0x43b3d0","0.00200482","0","","0.5","sysbench","func@0x43b3d0","[Unknown]","0x43b3d0"
"irq_exit","0.00200482","2600000","0","0","vmlinux","irq_exit","[Unknown]","0xffffffff81087880"
"account_system_index_time","0.00200482","0","0","0","vmlinux","account_system_index_time","[Unknown]","0xffffffff810b45f0"
"func@0x44ee50","0.00200482","0","0","0","sysbench","func@0x44ee50","[Unknown]","0x44ee50"
"prepare_exit_to_usermode","0.00200482","0","","0.5","vmlinux","prepare_exit_to_usermode","[Unknown]","0xffffffff81003fb0"
"smp_apic_timer_interrupt","0.00200482","0","0","0","vmlinux","smp_apic_timer_interrupt","[Unknown]","0xffffffff81a02390"
"func@0x22a50","0.00200482","2600000","1","0.5","libmysqlclient.so.20.3.10","func@0x22a50","[Unknown]","0x22a50"
"mysql_field_count","0.00200482","0","0","0","libmysqlclient.so.20.3.10","mysql_field_count","[Unknown]","0x26320"
"_raw_spin_lock_irq","0.00200482","0","0","0","vmlinux","_raw_spin_lock_irq","[Unknown]","0xffffffff8190e930"
"mem_cgroup_commit_charge","0.00200482","0","","0.5","vmlinux","mem_cgroup_commit_charge","[Unknown]","0xffffffff8124a200"
"func@0x22838","0.00200482","0","","1","libmysqlclient.so.20.3.10","func@0x22838","[Unknown]","0x22838"
"sched_clock","0.00200482","0","","1","vmlinux","sched_clock","[Unknown]","0xffffffff810360b0"
"sb_rand_default","0.00200482","0","0","0","sysbench","sb_rand_default","[Unknown]","0x4118d0"
"free_pcppages_bulk","0.00200482","0","","0.5","vmlinux","free_pcppages_bulk","[Unknown]","0xffffffff811c45e0"
"osq_lock","0.00200482","2600000","1","0.5","vmlinux","osq_lock","[Unknown]","0xffffffff810d3fd0"
"func@0x43677d","0.00200482","0","","0.5","sysbench","func@0x43677d","[Unknown]","0x43677d"
"func@0x408390","0.00200482","0","0","0","sysbench","func@0x408390","[Unknown]","0x408390"
"mem_cgroup_charge_statistics","0.00200482","2600000","0","0","vmlinux","mem_cgroup_charge_statistics","[Unknown]","0xffffffff812446f0"
"func@0x458390","0.00200482","5200000","0","0","sysbench","func@0x458390","[Unknown]","0x458390"
"db_close","0.00200482","0","0","0","sysbench","db_close","[Unknown]","0x40e9b0"
"free_perturb","0.00200482","0","0","0","libc-2.23.so","free_perturb","malloc.c","0x7ff1c"
"func@0x436752","0.00200482","2600000","1","0.5","sysbench","func@0x436752","[Unknown]","0x436752"
"func@0x4351e0","0.00200482","2600000","2","1","sysbench","func@0x4351e0","[Unknown]","0x4351e0"
"__do_page_fault","0.00200482","2600000","1","0.5","vmlinux","__do_page_fault","[Unknown]","0xffffffff8106b450"
"func@0x44d3b0","0.00200482","2600000","0","0","sysbench","func@0x44d3b0","[Unknown]","0x44d3b0"
"__GI_","0.00200482","2600000","1","0.5","libc-2.23.so","long double __GI_(long, int, bool, char)","malloc.c","0x846c0"
"func@0x468a50","0.00200482","0","","0.5","sysbench","func@0x468a50","[Unknown]","0x468a50"
"func@0x4352b0","0.00200482","5200000","1","1","sysbench","func@0x4352b0","[Unknown]","0x4352b0"
"func@0x383f0","0.00200482","0","0","0","libmysqlclient.so.20.3.10","func@0x383f0","[Unknown]","0x383f0"
"do_lookup_x","0.00200482","7800000","0.333333","0.5","ld-2.23.so","do_lookup_x","dl-lookup.c","0x9e70"
"update_group_capacity","0.00200482","0","","1.5","vmlinux","update_group_capacity","[Unknown]","0xffffffff810bf670"
"__bitmap_subset","0.00200482","2600000","4","2","vmlinux","__bitmap_subset","[Unknown]","0xffffffff81455220"
"native_irq_return_iret","0.00100241","0","0","0","vmlinux","native_irq_return_iret","[Unknown]","0xffffffff81a00a27"
"pmd_pfn","0.00100241","0","0","0","vmlinux","pmd_pfn","[Unknown]","0xffffffff811f5df0"
"task_numa_migrate","0.00100241","0","0","0","vmlinux","task_numa_migrate","[Unknown]","0xffffffff810b8a70"
