PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
4,16384,4096,1,0,914.47,0.0
4,16384,4096,1,1,1010.03,188.825605
4,16384,4096,2,0,907.33,0.0
4,16384,4096,2,1,947.14,172.557098
4,16384,4096,4,0,895.28,0.0
4,16384,4096,4,1,856.52,94.318238
4,16384,131072,1,0,663.97,0.0
4,16384,131072,1,1,612.73,151.496908
4,16384,131072,2,0,670.02,0.0
4,16384,131072,2,1,614.54,142.862735
4,16384,131072,4,0,672.79,0.0
4,16384,131072,4,1,620.02,88.891754
4,16384,524288,1,0,610.29,0.0
4,16384,524288,1,1,596.67,99.150723
4,16384,524288,2,0,610.0,0.0
4,16384,524288,2,1,561.95,53.80378
4,16384,524288,4,0,613.17,0.0
4,16384,524288,4,1,584.98,76.688643
4,16384,1048576,1,0,593.62,0.0
4,16384,1048576,1,1,577.82,24.383564
4,16384,1048576,2,0,600.65,0.0
4,16384,1048576,2,1,539.25,18.104065
4,16384,1048576,4,0,603.56,0.0
4,16384,1048576,4,1,583.18,24.720705
4,16384,4194304,1,0,586.73,0.0
4,16384,4194304,1,1,594.71,1.08779
4,16384,4194304,2,0,598.76,0.0
4,16384,4194304,2,1,577.34,1.047641
4,16384,4194304,4,0,579.59,0.0
4,16384,4194304,4,1,591.42,1.098124
4,16384,16777216,1,0,582.28,0.0
4,16384,16777216,1,1,585.77,0.001467
4,16384,16777216,2,0,553.95,0.0
4,16384,16777216,2,1,589.12,0.001515
4,16384,16777216,4,0,558.19,0.0
4,16384,16777216,4,1,561.81,0.001499
16,4096,4096,1,0,41.56,0.0
16,4096,4096,1,1,58.02,23.566488
16,4096,4096,2,0,43.62,0.0
16,4096,4096,2,1,55.37,17.327565
16,4096,4096,4,0,43.69,0.0
16,4096,4096,4,1,47.07,10.015892
16,4096,131072,1,0,36.37,0.0
16,4096,131072,1,1,41.6,0.048094
16,4096,131072,2,0,35.12,0.0
16,4096,131072,2,1,42.03,0.054828
16,4096,131072,4,0,37.84,0.0
16,4096,131072,4,1,37.75,0.068993
16,4096,524288,1,0,34.13,0.0
16,4096,524288,1,1,36.55,0.000999
16,4096,524288,2,0,34.58,0.0
16,4096,524288,2,1,39.05,0.001043
16,4096,524288,4,0,33.63,0.0
16,4096,524288,4,1,33.47,0.000947
16,4096,1048576,1,0,36.74,0.0
16,4096,1048576,1,1,37.37,0.06113
16,4096,1048576,2,0,34.07,0.0
16,4096,1048576,2,1,38.66,0.064928
16,4096,1048576,4,0,34.61,0.0
16,4096,1048576,4,1,39.2,0.061105
16,4096,4194304,1,0,37.14,0.0
16,4096,4194304,1,1,36.74,0.008458
16,4096,4194304,2,0,37.82,0.0
16,4096,4194304,2,1,39.09,0.009095
16,4096,4194304,4,0,39.32,0.0
16,4096,4194304,4,1,38.82,0.008876
16,4096,16777216,1,0,36.37,0.0
16,4096,16777216,1,1,38.0,0.009572
16,4096,16777216,2,0,37.44,0.0
16,4096,16777216,2,1,39.08,0.008217
16,4096,16777216,4,0,37.91,0.0
16,4096,16777216,4,1,36.06,0.009329
16,8192,4096,1,0,169.11,0.0
16,8192,4096,1,1,233.18,101.01339
16,8192,4096,2,0,167.88,0.0
16,8192,4096,2,1,219.36,77.714698
16,8192,4096,4,0,173.05,0.0
16,8192,4096,4,1,188.28,43.021214
16,8192,131072,1,0,136.06,0.0
16,8192,131072,1,1,148.24,4.193382
16,8192,131072,2,0,142.64,0.0
16,8192,131072,2,1,147.73,3.072009
16,8192,131072,4,0,138.76,0.0
16,8192,131072,4,1,150.34,2.258475
16,8192,524288,1,0,142.31,0.0
16,8192,524288,1,1,144.21,0.118747
16,8192,524288,2,0,139.99,0.0
16,8192,524288,2,1,148.62,0.108216
16,8192,524288,4,0,148.09,0.0
16,8192,524288,4,1,149.0,0.117086
16,8192,1048576,1,0,147.23,0.0
16,8192,1048576,1,1,140.89,0.001474
16,8192,1048576,2,0,146.82,0.0
16,8192,1048576,2,1,144.51,0.001594
16,8192,1048576,4,0,139.84,0.0
16,8192,1048576,4,1,138.34,0.001538
16,8192,4194304,1,0,113.43,0.0
16,8192,4194304,1,1,115.13,0.063004
16,8192,4194304,2,0,138.32,0.0
16,8192,4194304,2,1,139.82999999999998,0.077045
16,8192,4194304,4,0,128.91,0.0
16,8192,4194304,4,1,101.53,0.072355
16,8192,16777216,1,0,115.57,0.0
16,8192,16777216,1,1,113.46000000000001,0.008631
16,8192,16777216,2,0,133.89,0.0
16,8192,16777216,2,1,127.55,0.008898
16,8192,16777216,4,0,99.52000000000001,0.0
16,8192,16777216,4,1,117.44,0.009135
16,16384,4096,1,0,692.78,0.0
16,16384,4096,1,1,929.37,401.093971
16,16384,4096,2,0,680.56,0.0
16,16384,4096,2,1,886.1,351.639709
16,16384,4096,4,0,685.07,0.0
16,16384,4096,4,1,780.63,216.520334
16,16384,131072,1,0,582.0,0.0
16,16384,131072,1,1,554.25,66.303871
16,16384,131072,2,0,561.23,0.0
16,16384,131072,2,1,568.02,56.791615
16,16384,131072,4,0,575.17,0.0
16,16384,131072,4,1,549.19,32.654568
16,16384,524288,1,0,584.86,0.0
16,16384,524288,1,1,524.42,6.363013
16,16384,524288,2,0,569.03,0.0
16,16384,524288,2,1,498.86,6.062025
16,16384,524288,4,0,585.82,0.0
16,16384,524288,4,1,526.9,5.597197
16,16384,1048576,1,0,638.08,0.0
16,16384,1048576,1,1,570.71,1.299906
16,16384,1048576,2,0,600.35,0.0
16,16384,1048576,2,1,520.13,0.866771
16,16384,1048576,4,0,576.44,0.0
16,16384,1048576,4,1,521.98,0.72876
16,16384,4194304,1,0,546.46,0.0
16,16384,4194304,1,1,502.43,0.002572
16,16384,4194304,2,0,505.89,0.0
16,16384,4194304,2,1,497.55,0.002543
16,16384,4194304,4,0,495.68,0.0
16,16384,4194304,4,1,490.77,0.002403
16,16384,16777216,1,0,489.63,0.0
16,16384,16777216,1,1,652.84,0.083145
16,16384,16777216,2,0,521.59,0.0
16,16384,16777216,2,1,576.6,0.07542
16,16384,16777216,4,0,585.82,0.0
16,16384,16777216,4,1,574.83,0.074101
